企業名,本社住所,電話番号,地域,備考,情報源URL
六甲バター株式会社,〒651-0062 兵庫県神戸市中央区坂口通1丁目3-13,078-231-4681,神戸市,QBBブランドのチーズ等製造。東証プライム上場,https://itp.ne.jp/info/283302305102440710/
エム・シーシー食品株式会社,〒658-0023 兵庫県神戸市東灘区深江浜町32番,078-451-1481,神戸市,カレー等食品製造。※マイナビ2027掲載確認,https://www.mccfoods.co.jp/about/company/
富永貿易株式会社,〒651-0087 兵庫県神戸市中央区御幸通5-1-21,078-232-8600,神戸市,食品・飲料の輸入商社。KOBE JOB PORT掲載企業,https://www.tominaga.co.jp/company/outline.html
TOA株式会社,〒650-0046 兵庫県神戸市中央区港島中町7丁目2番1号,078-303-5620,神戸市,業務用音響・セキュリティ機器メーカー,https://www.toa.co.jp/
フジッコ株式会社,〒650-8558 兵庫県神戸市中央区港島中町6丁目13番地4,078-303-5291,神戸市,食品メーカー。ひょうご応援企業掲載,https://www.fujicco.co.jp/corp/company/about.html
株式会社ノーリツ,〒650-0033 兵庫県神戸市中央区江戸町93番地,078-391-3361,神戸市,給湯機器メーカー,https://www.noritz.co.jp/
バンドー化学株式会社,〒650-0047 兵庫県神戸市中央区港島南町4丁目6-6,078-304-2923,神戸市,産業用ベルト等の総合化学メーカー,https://www.bandogrp.com/corporate/global/jp_detail/index.html
川西倉庫株式会社,〒652-0831 兵庫県神戸市兵庫区七宮町1丁目4-16,078-671-7931,神戸市,総合物流企業。東証スタンダード上場,https://www.kawanishi.co.jp/01company/summary.htm
モロゾフ株式会社,〒658-0033 兵庫県神戸市東灘区向洋町西5丁目3番,078-822-5000,神戸市,洋菓子製造販売。ひょうご応援企業掲載,https://www.morozoff.co.jp/company_ir/profile_index.html
株式会社トーホー,〒658-0033 兵庫県神戸市東灘区向洋町西5丁目9番,078-845-2400,神戸市,業務用食品卸グループ。自社新卒採用サイトあり,https://www.to-ho.co.jp/company/profile.html
神戸電鉄株式会社,〒652-0811 兵庫県神戸市兵庫区新開地1丁目3番24号,078-576-8652,神戸市,鉄道事業,https://www.shintetsu.co.jp/company/guidance/
白鶴酒造株式会社,〒658-0041 兵庫県神戸市東灘区住吉南町4-5-5,078-822-8901,神戸市,灘五郷の清酒メーカー。ひょうご応援企業掲載,https://www.hakutsuru.co.jp/corporate/zigyo.html
山陽電気鉄道株式会社,〒653-0843 兵庫県神戸市長田区御屋敷通3丁目1番1号,078-612-2630,神戸市,鉄道事業。総務・広報直通は078-612-2143,https://www.sanyo-railway.co.jp/recruit/about.html
神栄株式会社,〒651-0178 兵庫県神戸市中央区京町77-1,078-392-6881,神戸市,1887年創立の商社。ひょうご応援企業掲載,https://www.shinyei.co.jp/what/profile/index.html
株式会社ケーニヒスクローネ,〒651-0087 兵庫県神戸市中央区御幸通4-1-6,078-291-0708,神戸市,洋菓子製造販売。ひょうご応援企業掲載,https://konigs-krone.co.jp/company/
株式会社サラト,兵庫県姫路市北条宮の町172,079-284-1380,播磨(姫路),同窓会支援サービス。はりまっち掲載の新卒採用企業,https://salat.co.jp/about/gaiyo/
株式会社ヒメプラ,〒670-0947 兵庫県姫路市北条448番地の8,079-222-4455,播磨(姫路),プラスチック製品等の商社。JOB播磨掲載企業,https://www.himepla.co.jp/company/profile/
姫路合同貨物自動車株式会社,〒670-0843 兵庫県姫路市城東町清水6,079-222-2891,播磨(姫路),総合物流。はりまっち掲載の新卒採用企業,https://www.himego.co.jp/company/profile.html
トヨタカローラ姫路株式会社,〒671-0253 兵庫県姫路市花田町一本松字深田90番地の1,079-253-2141,播磨(姫路),自動車ディーラー。はりまっち掲載の新卒採用企業,https://www.c-himeji.jp/corporate_idea_history
姫路大同青果株式会社,〒672-8023 兵庫県姫路市白浜町甲1920-54,079-245-1115,播磨(姫路),姫路市中央卸売市場の青果卸。はりまっち掲載,https://www.e-himeka.com/about/
山野印刷株式会社,〒670-0982 兵庫県姫路市岡田479,079-294-2121,播磨(姫路),総合印刷業。JOB播磨掲載企業,https://www.yamano-printing.co.jp/company/outline
株式会社マルアイ,兵庫県加古川市神野町神野225番地1,079-430-5181,播磨(加古川),食品スーパーチェーン。JOB播磨掲載企業,https://www.maruai-super.co.jp/profile/
株式会社セイバン,〒679-4123 兵庫県たつの市龍野町片山379-1,0791-72-3000,播磨(たつの),ランドセル「天使のはね」メーカー。JOB播磨掲載企業,https://www.seiban.com/company/
アンサー株式会社,兵庫県姫路市広畑区西蒲田369-10,079-237-7777,播磨(姫路),システム開発会社。JOB播磨掲載企業,https://answers.co.jp/company.html
株式会社広築,〒671-1116 兵庫県姫路市広畑区正門通4丁目10-11,079-236-1383,播磨(姫路),工業炉建設・熱処理エンジニアリング。JOB播磨掲載企業,https://www.hirochiku.co.jp/company/outline/
姫路信用金庫,兵庫県姫路市十二所前町105,079-288-1121,播磨(姫路),地域金融機関。はりまっち掲載の新卒採用企業,https://www.shinkin.co.jp/himeshin/branch/himejieki_area/honten.html
